Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Total population - Persons,Total population - Males,Total population - Females,Population attending educational institutions - Persons,Population attending educational institutions - Males,Population attending educational institutions - Females,Illiterate - Persons,Illiterate - Males,Illiterate - Females,Literate - Persons,Literate - Males,Literate - Females,Educational level - Literate without educational level - Persons,Educational level - Literate without educational level - Males,Educational level - Literate without educational level - Females,Educational level - Below primary - Persons,Educational level - Below primary - Males,Educational level - Below primary - Females,Educational level - Primary - Persons,Educational level - Primary - Males,Educational level - Primary - Females,Educational level - Middle - Persons,Educational level - Middle - Males,Educational level - Middle - Females,Educational level - Matric/Secondary - Persons,Educational level - Matric/Secondary - Males,Educational level - Matric/Secondary - Females,Educational level - Higher secondary/Intermediate/Pre-University/Senior secondary - Persons,Educational level - Higher secondary/Intermediate/Pre-University/Senior secondary - Males,Educational level - Higher secondary/Intermediate/Pre-University/Senior secondary - Females,Educational level - Non-technical diploma or certificate not equal to degree - Persons,Educational level - Non-technical diploma or certificate not equal to degree - Males,Educational level - Non-technical diploma or certificate not equal to degree - Females,Educational level - Technical diploma or certificate not equal to degree - Persons,Educational level - Technical diploma or certificate not equal to degree - Males,Educational level - Technical diploma or certificate not equal to degree - Females,Educational level - Graduate & above - Persons,Educational level - Graduate & above - Males,Educational level - Graduate & above - Females,Educational level - Unclassified - Persons,Educational level - Unclassified - Males,Educational level - Unclassified - Females
C3311,00,00,0000,INDIA,Urban,60+,19177607,9408722,9768885,50938,32306,18632,6126,2194,3932,44812,30112,14700,2816,1439,1377,1697,866,831,1981,1167,814,1073,690,383,5890,4005,1885,9700,6171,3529,225,182,43,1031,820,211,20344,14730,5614,55,42,13
C3311,00,00,0000,INDIA,Urban,Age not stated,841654,465167,376487,20068,12123,7945,583,291,292,19485,11832,7653,953,624,329,280,164,116,207,138,69,162,118,44,1725,1062,663,5673,3343,2330,126,107,19,579,437,142,9770,5834,3936,10,5,5
C3311,01,00,0000,State - JAMMU & KASHMIR  01,Total,All ages,10143700,5360926,4782774,2463443,1397468,1065975,308451,160993,147458,2154992,1236475,918517,9979,6543,3436,741752,416556,325196,600622,342464,258158,383915,221811,162104,233699,136760,96939,134994,80613,54381,184,140,44,1145,821,324,48493,30645,17848,209,122,87
C3311,01,00,0000,State - JAMMU & KASHMIR  01,Total,0-4,963603,497184,466419,31890,17270,14620,31890,17270,14620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,01,00,0000,State - JAMMU & KASHMIR  01,Total,5,237728,122741,114987,43814,24145,19669,43814,24145,19669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,01,00,0000,State - JAMMU & KASHMIR  01,Total,6,284472,145469,139003,101039,55032,46007,101039,55032,46007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,01,00,0000,State - JAMMU & KASHMIR  01,Total,7,217317,111487,105830,131183,71714,59469,26879,14293,12586,104304,57421,46883,788,478,310,103504,56940,46564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,9
C3311,01,00,0000,State - JAMMU & KASHMIR  01,Total,8,321662,165379,156283,212245,116821,95424,28905,14933,13972,183340,101888,81452,999,628,371,182327,101252,81075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,6
C3311,01,00,0000,State - JAMMU & KASHMIR  01,Total,9,231584,119404,112180,168889,92632,76257,16065,8057,8008,152824,84575,68249,656,395,261,139356,77283,62073,12804,6894,5910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5
C3311,01,00,0000,State - JAMMU & KASHMIR  01,Total,10,368272,190872,177400,257996,143718,114278,17792,8870,8922,240204,134848,105356,1080,687,393,177458,100173,77285,61651,33979,27672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,6
